market,symbol,signal_date,weeks_ago,current_rsi,signal_rsi,close,chart,status
OKX,TRUMP/USDT,2026-08-17,1,44.8,48.0,2.343,https://www.tradingview.com/chart/?symbol=OKX:TRUMPUSDT,🆕 신규
OKX,DOT/USDT,2026-08-17,1,34.3,37.6,0.8193,https://www.tradingview.com/chart/?symbol=OKX:DOTUSDT,🆕 신규
OKX,BCH/USDT,2026-08-17,1,39.5,43.0,243.4,https://www.tradingview.com/chart/?symbol=OKX:BCHUSDT,🆕 신규
OKX,GRT/USDT,2026-08-17,1,34.7,36.8,0.01613,https://www.tradingview.com/chart/?symbol=OKX:GRTUSDT,🆕 신규
OKX,IOST/USDT,2026-08-17,1,27.4,28.2,0.0005722,https://www.tradingview.com/chart/?symbol=OKX:IOSTUSDT,🆕 신규
OKX,PI/USDT,2026-08-17,1,29.5,29.6,0.09049,https://www.tradingview.com/chart/?symbol=OKX:PIUSDT,🆕 신규
OKX,ZK/USDT,2026-08-17,1,34.5,34.8,0.009089,https://www.tradingview.com/chart/?symbol=OKX:ZKUSDT,🆕 신규
OKX,STX/USDT,2026-08-17,1,52.2,52.2,0.2342,https://www.tradingview.com/chart/?symbol=OKX:STXUSDT,🆕 신규
OKX,IOTA/USDT,2026-08-17,1,39.0,42.9,0.03932,https://www.tradingview.com/chart/?symbol=OKX:IOTAUSDT,🆕 신규
OKX,ZORA/USDT,2026-08-17,1,23.7,21.0,0.007795,https://www.tradingview.com/chart/?symbol=OKX:ZORAUSDT,🆕 신규
OKX,SEI/USDT,2026-08-17,1,34.8,37.0,0.04396,https://www.tradingview.com/chart/?symbol=OKX:SEIUSDT,🆕 신규
OKX,TOSHI/USDT,2026-08-17,1,31.2,34.0,0.00011684,https://www.tradingview.com/chart/?symbol=OKX:TOSHIUSDT,🆕 신규
OKX,GALA/USDT,2026-08-17,1,30.4,32.6,0.001646,https://www.tradingview.com/chart/?symbol=OKX:GALAUSDT,🆕 신규
OKX,ZEUS/USDT,2026-08-17,1,29.6,29.5,0.002496,https://www.tradingview.com/chart/?symbol=OKX:ZEUSUSDT,🆕 신규
OKX,BERA/USDT,2026-08-17,1,32.7,33.8,0.165,https://www.tradingview.com/chart/?symbol=OKX:BERAUSDT,🆕 신규
OKX,SAND/USDT,2026-08-17,1,30.0,33.3,0.03745,https://www.tradingview.com/chart/?symbol=OKX:SANDUSDT,🆕 신규
OKX,KSM/USDT,2026-08-17,1,39.4,41.8,3.461,https://www.tradingview.com/chart/?symbol=OKX:KSMUSDT,🆕 신규
OKX,LPT/USDT,2026-08-17,1,33.2,35.0,1.324,https://www.tradingview.com/chart/?symbol=OKX:LPTUSDT,🆕 신규
OKX,GAS/USDT,2026-08-17,1,44.3,43.7,1.2326,https://www.tradingview.com/chart/?symbol=OKX:GASUSDT,🆕 신규
OKX,MOVE/USDT,2026-08-17,1,28.7,29.0,0.008054,https://www.tradingview.com/chart/?symbol=OKX:MOVEUSDT,🆕 신규
OKX,ZETA/USDT,2026-08-17,1,34.2,35.2,0.03231,https://www.tradingview.com/chart/?symbol=OKX:ZETAUSDT,🆕 신규
