market,symbol,signal_date,weeks_ago,current_rsi,signal_rsi,close,chart,status
US,BGSI,2026-08-31,0,34.3,34.3,90.47,https://www.tradingview.com/chart/?symbol=BGSI,✅ 유지
US,BIAF,2026-08-31,0,43.7,43.7,15.27,https://www.tradingview.com/chart/?symbol=BIAF,✅ 유지
US,CCB,2026-08-31,0,35.3,35.3,50.33,https://www.tradingview.com/chart/?symbol=CCB,✅ 유지
US,FRSX,2026-08-31,0,26.4,26.4,1.17,https://www.tradingview.com/chart/?symbol=FRSX,✅ 유지
US,GGR,2026-08-31,0,36.6,36.6,2.66,https://www.tradingview.com/chart/?symbol=GGR,✅ 유지
US,GIPR,2026-08-31,0,32.6,32.6,0.539,https://www.tradingview.com/chart/?symbol=GIPR,✅ 유지
US,HPAI,2026-08-31,0,24.2,24.2,0.4294,https://www.tradingview.com/chart/?symbol=HPAI,✅ 유지
US,HTZ,2026-08-31,0,36.6,36.6,2.3,https://www.tradingview.com/chart/?symbol=HTZ,✅ 유지
US,ICMB,2026-08-31,0,31.5,31.5,0.886,https://www.tradingview.com/chart/?symbol=ICMB,✅ 유지
US,MTR,2026-08-31,0,29.6,29.6,2.6,https://www.tradingview.com/chart/?symbol=MTR,✅ 유지
US,NRSN,2026-08-31,0,39.2,39.2,0.5108,https://www.tradingview.com/chart/?symbol=NRSN,✅ 유지
US,ONCO,2026-08-31,0,28.6,28.6,1.02,https://www.tradingview.com/chart/?symbol=ONCO,✅ 유지
US,RGC,2026-08-31,0,35.5,35.5,6.89,https://www.tradingview.com/chart/?symbol=RGC,✅ 유지
US,SIGA,2026-08-31,0,35.3,35.3,3.29,https://www.tradingview.com/chart/?symbol=SIGA,✅ 유지
US,SPWR,2026-08-31,0,31.1,31.1,0.3602,https://www.tradingview.com/chart/?symbol=SPWR,✅ 유지
US,TANH,2026-08-31,0,40.1,40.1,21.87,https://www.tradingview.com/chart/?symbol=TANH,✅ 유지
US,TTD,2026-08-31,0,31.3,31.3,14.43,https://www.tradingview.com/chart/?symbol=TTD,✅ 유지
US,VERI,2026-08-31,0,31.4,31.4,0.9065,https://www.tradingview.com/chart/?symbol=VERI,✅ 유지
US,VMAR,2026-08-31,0,20.8,20.8,8.685,https://www.tradingview.com/chart/?symbol=VMAR,✅ 유지
US,ADCT,2026-08-24,1,37.0,31.7,1.36,https://www.tradingview.com/chart/?symbol=ADCT,✅ 유지
US,AEON,2026-08-24,1,32.1,33.8,0.2408,https://www.tradingview.com/chart/?symbol=AEON,✅ 유지
US,ALP,2026-08-24,1,27.6,29.6,0.0992,https://www.tradingview.com/chart/?symbol=ALP,✅ 유지
US,ALPS,2026-08-24,1,27.5,27.6,0.38,https://www.tradingview.com/chart/?symbol=ALPS,✅ 유지
US,BMRA,2026-08-24,1,58.9,54.8,2.31,https://www.tradingview.com/chart/?symbol=BMRA,✅ 유지
US,BRBI,2026-08-24,1,40.7,33.3,10.91,https://www.tradingview.com/chart/?symbol=BRBI,✅ 유지
US,CFND,2026-08-24,1,42.3,33.5,3.17,https://www.tradingview.com/chart/?symbol=CFND,✅ 유지
US,EBS,2026-08-24,1,41.5,39.4,6.21,https://www.tradingview.com/chart/?symbol=EBS,✅ 유지
US,EMPD,2026-08-24,1,24.2,23.5,3.29,https://www.tradingview.com/chart/?symbol=EMPD,✅ 유지
US,ENGN,2026-08-24,1,33.1,33.1,1.82,https://www.tradingview.com/chart/?symbol=ENGN,✅ 유지
US,FNGR,2026-08-24,1,31.7,37.8,0.1974,https://www.tradingview.com/chart/?symbol=FNGR,✅ 유지
US,HERE,2026-08-24,1,34.1,33.6,1.91,https://www.tradingview.com/chart/?symbol=HERE,✅ 유지
US,LFT,2026-08-24,1,31.2,32.1,0.7209,https://www.tradingview.com/chart/?symbol=LFT,✅ 유지
US,LZMH,2026-08-24,1,30.5,30.5,1.28,https://www.tradingview.com/chart/?symbol=LZMH,✅ 유지
US,MSS,2026-08-24,1,23.2,23.4,1.51,https://www.tradingview.com/chart/?symbol=MSS,✅ 유지
US,NTRP,2026-08-24,1,33.1,35.4,1.41,https://www.tradingview.com/chart/?symbol=NTRP,✅ 유지
US,PRH,2026-08-24,1,36.5,39.4,21.65,https://www.tradingview.com/chart/?symbol=PRH,✅ 유지
US,RKDA,2026-08-24,1,28.0,29.1,0.4726,https://www.tradingview.com/chart/?symbol=RKDA,✅ 유지
US,SOJC,2026-08-24,1,34.0,36.7,19.5,https://www.tradingview.com/chart/?symbol=SOJC,✅ 유지
US,TMUSL,2026-08-24,1,32.3,38.6,22.89,https://www.tradingview.com/chart/?symbol=TMUSL,✅ 유지
US,UWMC,2026-08-24,1,28.2,28.4,1.47,https://www.tradingview.com/chart/?symbol=UWMC,✅ 유지
US,VENU,2026-08-24,1,30.2,30.4,2.0,https://www.tradingview.com/chart/?symbol=VENU,✅ 유지
US,VITL,2026-08-24,1,31.7,33.9,9.92,https://www.tradingview.com/chart/?symbol=VITL,✅ 유지
US,XPON,2026-08-24,1,44.8,50.9,5.86,https://www.tradingview.com/chart/?symbol=XPON,✅ 유지
US,XTNT,2026-08-24,1,38.7,39.2,0.375,https://www.tradingview.com/chart/?symbol=XTNT,✅ 유지
US,ACTU,2026-08-17,2,38.7,34.1,1.48,https://www.tradingview.com/chart/?symbol=ACTU,✅ 유지
US,ALNY,2026-08-17,2,45.1,35.5,266.11,https://www.tradingview.com/chart/?symbol=ALNY,✅ 유지
US,ANTA,2026-08-17,2,31.7,33.0,3.76,https://www.tradingview.com/chart/?symbol=ANTA,✅ 유지
US,FEMY,2026-08-17,2,34.5,33.8,2.98,https://www.tradingview.com/chart/?symbol=FEMY,✅ 유지
US,FLNA,2026-08-17,2,31.1,34.2,0.8201,https://www.tradingview.com/chart/?symbol=FLNA,✅ 유지
US,FVRR,2026-08-17,2,36.2,35.2,9.25,https://www.tradingview.com/chart/?symbol=FVRR,✅ 유지
US,GNLN,2026-08-17,2,29.3,29.4,2.8,https://www.tradingview.com/chart/?symbol=GNLN,✅ 유지
US,GNS,2026-08-17,2,34.1,33.1,0.1812,https://www.tradingview.com/chart/?symbol=GNS,✅ 유지
US,GRNQ,2026-08-17,2,56.2,41.5,18.7,https://www.tradingview.com/chart/?symbol=GRNQ,✅ 유지
US,IMMP,2026-08-17,2,31.6,32.4,0.3649,https://www.tradingview.com/chart/?symbol=IMMP,✅ 유지
US,INTJ,2026-08-17,2,30.2,32.8,3.02,https://www.tradingview.com/chart/?symbol=INTJ,✅ 유지
US,KNRX,2026-08-17,2,34.3,38.0,0.3651,https://www.tradingview.com/chart/?symbol=KNRX,✅ 유지
US,MODD,2026-08-17,2,39.2,38.0,3.68,https://www.tradingview.com/chart/?symbol=MODD,✅ 유지
US,NAGE,2026-08-17,2,32.7,32.3,3.17,https://www.tradingview.com/chart/?symbol=NAGE,✅ 유지
US,OCG,2026-08-17,2,24.5,24.4,1.72,https://www.tradingview.com/chart/?symbol=OCG,✅ 유지
US,PFSA,2026-08-17,2,10.4,10.4,2.72,https://www.tradingview.com/chart/?symbol=PFSA,✅ 유지
US,PODD,2026-08-17,2,34.0,33.3,147.48,https://www.tradingview.com/chart/?symbol=PODD,✅ 유지
US,PPBT,2026-08-17,2,29.1,25.7,1.75,https://www.tradingview.com/chart/?symbol=PPBT,✅ 유지
US,SCNI,2026-08-17,2,31.0,37.3,1.86,https://www.tradingview.com/chart/?symbol=SCNI,✅ 유지
US,SKYA,2026-08-17,2,32.5,31.6,1.38,https://www.tradingview.com/chart/?symbol=SKYA,✅ 유지
US,SLI,2026-08-17,2,38.3,38.6,2.42,https://www.tradingview.com/chart/?symbol=SLI,✅ 유지
US,STXS,2026-08-17,2,36.6,36.9,1.39,https://www.tradingview.com/chart/?symbol=STXS,✅ 유지
US,VIOT,2026-08-17,2,55.7,34.0,1.14,https://www.tradingview.com/chart/?symbol=VIOT,✅ 유지
US,AAUC,2026-08-10,3,47.3,44.4,23.62,https://www.tradingview.com/chart/?symbol=AAUC,✅ 유지
US,ABTC,2026-08-10,3,33.2,30.7,7.99,https://www.tradingview.com/chart/?symbol=ABTC,✅ 유지
US,ACI,2026-08-10,3,38.0,36.8,12.55,https://www.tradingview.com/chart/?symbol=ACI,✅ 유지
US,AUUD,2026-08-10,3,30.8,30.7,1.0,https://www.tradingview.com/chart/?symbol=AUUD,✅ 유지
US,AZTR,2026-08-10,3,39.4,31.2,0.1795,https://www.tradingview.com/chart/?symbol=AZTR,✅ 유지
US,BRNX,2026-08-10,3,25.0,25.2,2.24,https://www.tradingview.com/chart/?symbol=BRNX,✅ 유지
US,CAN,2026-08-10,3,46.4,34.3,0.36,https://www.tradingview.com/chart/?symbol=CAN,✅ 유지
US,CANG,2026-08-10,3,34.0,32.7,2.19,https://www.tradingview.com/chart/?symbol=CANG,✅ 유지
US,CDTG,2026-08-10,3,34.2,35.6,1.32,https://www.tradingview.com/chart/?symbol=CDTG,✅ 유지
US,CMND,2026-08-10,3,22.5,22.8,1.16,https://www.tradingview.com/chart/?symbol=CMND,✅ 유지
US,CURX,2026-08-10,3,32.6,29.8,5.05,https://www.tradingview.com/chart/?symbol=CURX,✅ 유지
US,DAAQ,2026-08-10,3,54.4,54.2,10.43,https://www.tradingview.com/chart/?symbol=DAAQ,✅ 유지
US,DRMA,2026-08-10,3,39.4,45.6,1.21,https://www.tradingview.com/chart/?symbol=DRMA,✅ 유지
US,FLUT,2026-08-10,3,38.4,38.9,100.11,https://www.tradingview.com/chart/?symbol=FLUT,✅ 유지
US,HDRN,2026-08-10,3,16.5,15.3,1.79,https://www.tradingview.com/chart/?symbol=HDRN,✅ 유지
US,IMNN,2026-08-10,3,32.1,33.1,1.58,https://www.tradingview.com/chart/?symbol=IMNN,✅ 유지
US,IMXI,2026-08-10,3,50.7,51.2,14.51,https://www.tradingview.com/chart/?symbol=IMXI,✅ 유지
US,MDXH,2026-08-10,3,35.3,35.8,0.7484,https://www.tradingview.com/chart/?symbol=MDXH,✅ 유지
US,MTEN,2026-08-10,3,28.1,28.1,1.03,https://www.tradingview.com/chart/?symbol=MTEN,✅ 유지
US,NWGL,2026-08-10,3,67.6,39.6,1.27,https://www.tradingview.com/chart/?symbol=NWGL,✅ 유지
US,NXGL,2026-08-10,3,31.8,39.6,0.3165,https://www.tradingview.com/chart/?symbol=NXGL,✅ 유지
US,NYXH,2026-08-10,3,34.2,34.0,1.62,https://www.tradingview.com/chart/?symbol=NYXH,✅ 유지
US,OIO,2026-08-10,3,24.4,24.7,1.76,https://www.tradingview.com/chart/?symbol=OIO,✅ 유지
US,OPTT,2026-08-10,3,37.3,38.0,0.1874,https://www.tradingview.com/chart/?symbol=OPTT,✅ 유지
US,ORIO,2026-08-10,3,52.5,45.5,0.98,https://www.tradingview.com/chart/?symbol=ORIO,✅ 유지
US,PMEC,2026-08-10,3,33.9,36.0,0.463,https://www.tradingview.com/chart/?symbol=PMEC,✅ 유지
US,RMCF,2026-08-10,3,35.3,40.5,0.9853,https://www.tradingview.com/chart/?symbol=RMCF,✅ 유지
US,RPT,2026-08-10,3,46.7,49.2,12.94,https://www.tradingview.com/chart/?symbol=RPT,✅ 유지
US,SCKT,2026-08-10,3,45.2,63.5,0.6094,https://www.tradingview.com/chart/?symbol=SCKT,✅ 유지
US,TDS,2026-08-10,3,49.7,38.6,37.83,https://www.tradingview.com/chart/?symbol=TDS,✅ 유지
US,TMS,2026-08-10,3,36.6,50.6,6.17,https://www.tradingview.com/chart/?symbol=TMS,✅ 유지
US,TRUG,2026-08-10,3,21.8,23.2,0.3796,https://www.tradingview.com/chart/?symbol=TRUG,✅ 유지
US,WCT,2026-08-10,3,35.3,29.0,1.44,https://www.tradingview.com/chart/?symbol=WCT,✅ 유지
US,XXI,2026-08-10,3,44.8,34.1,6.1,https://www.tradingview.com/chart/?symbol=XXI,✅ 유지
US,ZTS,2026-08-10,3,33.5,29.1,75.81,https://www.tradingview.com/chart/?symbol=ZTS,✅ 유지
US,ABR,2026-08-03,4,39.8,36.3,5.25,https://www.tradingview.com/chart/?symbol=ABR,✅ 유지
US,ADGM,2026-08-03,4,40.5,43.7,0.564,https://www.tradingview.com/chart/?symbol=ADGM,✅ 유지
US,AMIX,2026-08-03,4,39.7,51.8,4.59,https://www.tradingview.com/chart/?symbol=AMIX,✅ 유지
US,ATOS,2026-08-03,4,34.5,32.2,2.52,https://www.tradingview.com/chart/?symbol=ATOS,✅ 유지
US,AVX,2026-08-03,4,29.5,28.4,3.65,https://www.tradingview.com/chart/?symbol=AVX,✅ 유지
US,CBAT,2026-08-03,4,65.9,44.1,0.9835,https://www.tradingview.com/chart/?symbol=CBAT,✅ 유지
US,CELZ,2026-08-03,4,40.0,44.1,1.11,https://www.tradingview.com/chart/?symbol=CELZ,✅ 유지
US,CETX,2026-08-03,4,24.1,24.1,2.5,https://www.tradingview.com/chart/?symbol=CETX,✅ 유지
US,CLGN,2026-08-03,4,36.0,33.2,3.55,https://www.tradingview.com/chart/?symbol=CLGN,✅ 유지
US,CMCM,2026-08-03,4,39.5,32.1,3.38,https://www.tradingview.com/chart/?symbol=CMCM,✅ 유지
US,CMPX,2026-08-03,4,41.1,37.2,2.38,https://www.tradingview.com/chart/?symbol=CMPX,✅ 유지
US,CRMT,2026-08-03,4,26.8,28.1,2.4,https://www.tradingview.com/chart/?symbol=CRMT,✅ 유지
US,CSAI,2026-08-03,4,28.0,29.8,4.91,https://www.tradingview.com/chart/?symbol=CSAI,✅ 유지
US,DOGZ,2026-08-03,4,31.6,29.3,0.975,https://www.tradingview.com/chart/?symbol=DOGZ,✅ 유지
US,DQ,2026-08-03,4,33.5,39.9,12.31,https://www.tradingview.com/chart/?symbol=DQ,✅ 유지
US,DUO,2026-08-03,4,37.2,32.9,0.576,https://www.tradingview.com/chart/?symbol=DUO,✅ 유지
US,EJH,2026-08-03,4,25.9,25.7,1.22,https://www.tradingview.com/chart/?symbol=EJH,✅ 유지
US,EZRA,2026-08-03,4,32.0,29.2,2.83,https://www.tradingview.com/chart/?symbol=EZRA,✅ 유지
US,FLD,2026-08-03,4,30.0,26.8,0.5387,https://www.tradingview.com/chart/?symbol=FLD,✅ 유지
US,GAUZ,2026-08-03,4,34.2,35.2,0.3866,https://www.tradingview.com/chart/?symbol=GAUZ,✅ 유지
US,GLOO,2026-08-03,4,31.4,34.4,3.095,https://www.tradingview.com/chart/?symbol=GLOO,✅ 유지
US,GOVX,2026-08-03,4,32.1,33.4,0.4831,https://www.tradingview.com/chart/?symbol=GOVX,✅ 유지
US,GRI,2026-08-03,4,31.5,26.3,2.88,https://www.tradingview.com/chart/?symbol=GRI,✅ 유지
US,HTCR,2026-08-03,4,31.5,36.6,2.0,https://www.tradingview.com/chart/?symbol=HTCR,✅ 유지
US,HYFM,2026-08-03,4,46.2,60.4,0.954,https://www.tradingview.com/chart/?symbol=HYFM,✅ 유지
